Country,Total Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Total Tests,Population
USA,"80,176,637","961,668",624,"51,976,706","27,238,263","11,022","940,130,607","334,183,570"
India,"42,851,929","512,371",,"42,158,510","181,048","8,944","761,230,580","1,402,235,728"
Brazil,"28,250,591","644,695",,"25,244,026","2,361,870","8,318","63,776,166","215,035,499"
France,"22,304,024","132,662",,"19,424,964","2,746,398","3,055","243,529,298","65,510,236"
UK,"18,695,449","160,815",205,"16,918,511","1,616,123",324,"477,969,909","68,470,433"
Russia,"15,657,928","347,031",796,"12,657,025","2,653,872","2,300","273,400,000","146,037,024"
Germany,"13,863,229","122,360",320,"10,031,200","3,709,669","2,494","104,701,826","84,223,015"
Turkey,"13,675,581","92,990",271,"12,853,899","728,692","1,128","141,211,474","85,826,038"
Italy,"12,554,596","153,512",322,"11,109,291","1,291,793",896,"184,981,913","60,316,106"
Spain,"10,880,194","98,635",173,"8,876,996","1,904,563","1,185","471,036,328","46,784,460"
Argentina,"8,838,674","125,451",,"8,596,460","116,763","1,542","33,914,284","45,875,348"
Iran,"6,983,635","135,499",223,"6,539,753","308,383","3,918","46,780,865","85,754,239"
Netherlands,"6,153,207","21,507",18,"3,922,750","2,208,950",171,"21,107,399","17,197,011"
Colombia,"6,049,952","138,205",,"5,870,879","40,868",342,"32,980,562","51,771,513"
Poland,"5,582,217","110,157",325,"4,935,340","536,720",947,"33,181,435","37,778,671"
Mexico,"5,418,257","315,786",98,"4,676,499","425,972","4,798","14,895,473","131,152,303"
Indonesia,"5,289,414","146,798",257,"4,593,185","549,431","2,807","82,000,597","278,262,700"
Ukraine,"4,758,773","104,932",287,"3,985,601","668,240",177,"19,430,200","43,303,109"
Japan,"4,540,656","22,000",179,"3,698,801","819,855","1,504","37,793,387","125,841,851"
South Africa,"3,662,032","98,868",64,"3,526,115","37,049",546,"22,928,257","60,533,773"
Philippines,"3,654,284","55,776",13,"3,541,840","56,668",304,"27,993,027","111,970,468"
Israel,"3,576,923","10,038",37,"3,453,676","113,209",695,"41,373,364","9,326,000"
Czechia,"3,523,869","38,335",20,"3,352,052","133,482",210,"52,339,933","10,741,543"
Belgium,"3,512,212","30,015",30,"2,667,319","814,878",315,"31,453,138","11,672,287"
Malaysia,"3,273,958","32,433",43,"2,974,441","267,084",286,"48,228,081","33,045,379"
Canada,"3,249,964","36,113",67,"3,096,834","117,017",790,"57,774,463","38,284,405"
Portugal,"3,206,281","20,894",28,"2,717,509","467,878",111,"37,805,639","10,147,978"
Australia,"3,074,283","4,966",37,"2,834,719","234,598",172,"63,020,941","25,984,635"
Chile,"2,895,931","41,526",35,"1,923,902","930,503","1,020","32,424,200","19,385,090"
Vietnam,"2,890,522","39,682",77,"2,305,081","545,759","3,434","78,586,958","98,773,702"
Thailand,"2,749,561","22,694",35,"2,557,796","169,071",687,"17,270,775","70,087,036"
Switzerland,"2,700,057","13,171",1,"1,945,205","741,681",160,"18,409,729","8,758,340"
Romania,"2,686,089","62,839",207,"2,358,958","264,292","1,063","20,763,483","19,027,346"
Austria,"2,515,962","14,631",37,"2,227,197","274,134",199,"155,838,597","9,090,615"
Denmark,"2,513,265","4,375",34,"1,989,789","519,101",34,"124,694,186","5,825,632"
Sweden,"2,431,365","16,897",,"1,877,097","537,371",86,"18,107,257","10,202,465"
Greece,"2,336,615","25,485",68,"2,103,736","207,394",455,"63,959,112","10,339,605"
Iraq,"2,294,929","24,897",21,"2,227,997","42,035",191,"17,887,384","41,700,270"
S. Korea,"2,157,734","7,508",58,"936,891","1,213,335",480,"15,804,065","51,341,502"
Bangladesh,"1,936,837","28,990",16,"1,771,615","136,232","1,275","13,260,511","167,377,842"
Serbia,"1,892,187","14,958",54,"1,730,101","147,128",132,"8,670,454","8,679,686"
Hungary,"1,762,878","43,430",131,"1,535,456","183,992",177,"10,669,050","9,620,146"
Jordan,"1,591,278","13,731",18,"1,432,148","145,399",978,"16,062,203","10,369,104"
Georgia,"1,565,769","15,933",45,"1,422,540","127,296",,"15,693,403","3,976,616"
Pakistan,"1,502,641","30,053",13,"1,406,361","66,227","1,261","26,174,561","227,916,250"
Slovakia,"1,374,459","18,279",27,"1,128,008","228,172",246,"6,248,288","5,463,976"
Kazakhstan,"1,299,566","13,545",2,"1,256,284","29,737",528,"11,575,012","19,144,680"
Ireland,"1,280,058","6,452",9,"1,139,525","134,081",54,"11,250,554","5,028,157"
Morocco,"1,159,584","15,922",6,"1,137,129","6,533",293,"11,237,010","37,627,346"
Norway,"1,151,288","1,549",,"88,952","1,060,787",29,"9,852,076","5,490,707"
Bulgaria,"1,072,493","35,185",,"798,303","239,005",549,"9,061,645","6,862,712"
Cuba,"1,066,414","8,491",,"1,054,895","3,028",34,"12,920,253","11,315,285"
Lebanon,"1,049,274","9,989",,"682,977","356,308",186,"4,795,578","6,775,346"
Croatia,"1,043,334","14,905",36,"1,008,893","19,536",122,"4,478,083","4,063,772"
Tunisia,"987,256","27,486",,"925,164","34,606",234,"4,280,200","12,021,247"
Nepal,"976,105","11,928",3,"953,430","10,747",100,"5,391,603","29,995,086"
Bolivia,"890,420","21,386",8,"779,958","89,076",220,"2,669,468","11,933,873"
Belarus,"890,089","6,392",17,"875,660","8,037",,"12,317,444","9,444,229"
Slovenia,"882,364","6,236",14,"805,332","70,796",111,"2,561,069","2,079,406"
UAE,"875,884","2,297",1,"823,015","50,572",,"135,081,553","10,086,183"
Lithuania,"871,458","8,293",18,"774,782","88,383",109,"7,672,630","2,660,033"
Uruguay,"819,379","6,895",,"776,042","36,442",153,"5,626,554","3,493,460"
Costa Rica,"790,444","7,936",,"640,463","142,045",141,"3,635,922","5,170,341"
